aaron           nora aaron, nor aaron
stub            but stub
stuck           stuck cuts
stun            nut stun
stung           stung nuts
stunt           stunt nuts
sturm           sturm ruts
subs            subs bus
sung            gnu sung
sus             sus
swap            paw swap
swaps           swaps paws
swept           swept pews
sword           sword rows
swore           swore rows
sworn           sworn rows
syria           airy syria
system          met system
table           elba table
taboo           taboo bat
tabs            tabs bat
tack            tack cat
tact            tact cat
taft            taft fat
tahiti          tahiti hat
tailed          delia tailed
tame            tame mat
tamil           lima tamil
tanaka          tanaka nat
tang            tang nat
tangy           tangy gnat
tank            tank nat
taos            taos oat
tape            tape pat
taps            taps pat, spa taps
tara            tara rat
tart            tart rat
task            task sat
tass            tass sat
tattoos         soot tattoos
team            mae team
tear            rae tear
teems           teems meet
tell            tell let
tend            tend net
tended          tended net
tens            tens net
tenses          tenses net
tent            tent net
tess            tess set
test            test set
tided           tided edit
tides           tides edit
tile            tile lit, eli tile
till            till lit
tilt            tilt lit
timed           timed emit
timer           timer emit
timers          timers remit
times           times emit, semi times
timex           timex emit
timon           timon omit
tips            tips pit
tit             tit
titled          del titled
tito            tito tit
tits            tits tit
todd            todd dot
togo            togo got
toiled          toiled eliot
toiler          toiler eliot
toilet          toilet eliot
told            told lot
toll            toll lot
tone            tone not
toner           reno toner
toni            toni not
tons            tons not
tools           tools loot
tops            tops pot
topsy           topsy spot
tore            tore rot
torn            torn rot
tory            tory rot
totalled        della totalled
trace           trace cart
track           track cart
tract           tract cart
tracy           tracy cart
trade           trade dart
traded          traded art
tragic          cigar tragic
trail           liar trail
tramp           tramp mart
trap            trap art, par trap
traps           traps part
tray            tray art
trees           seer trees
trial           lair trial
troop           poor troop
truce           truce curt
truck           truck curt
tube            tube but
tubs            tubs but
tuck            tuck cut
tugs            tugs gut
tune            tune nut
turf            turf rut
turn            turn rut
twang           gnaw twang
twas            saw twas
twos            sow twos
tyler           rely tyler
unit            tin unit
unused          des unused
uris            sir uris
used            des used
utah            hat utah
valor           valor olav
vega            age vega
vegas           sage vegas
veil            lie veil
vela            vela lev, ale vela
vera            are vera
view            wei view
vile            eli vile
waco            waco caw
wailed          delia wailed
walk            walk law
wall            wall law
walled          della walled
wallets         stella wallets
walt            walt law
ward            ward raw
wards           wards draw
ware            ware raw, era ware
warm            warm raw
warn            warn raw
warp            warp raw
wars            wars raw
wart            wart raw
wary            wary raw
wash            wash saw
wasp            wasp saw
wave            eva wave
wear            rae wear
wedded          wedded dew
weds            weds dew
weed            dee weed
wehr            wehr hew
weld            weld lew
welded          welded lew
well            well lew
welsh           welsh slew
went            went new
wept            wept pew
were            ere were
west            west sew
wile            eli wile
wolf            wolf low, flo wolf
wolfe           wolfe flow
wolff           wolff low, wolff flow
womb            womb mow
wondered        wondered now
wong            wong now
wont            wont now
word            word row
worded          worded row
wore            wore row
work            work row
worm            worm row
worn            worn row
wotan           nato wotan
wove            wove vow
wrap            par wrap
writs           stir writs
yagi            yagi gay
yale            yale lay
yamaha          yamaha may
yank            yank nay
yard            yard ray
yarn            yarn ray
yawn            yawn way
year            rae year
yoder           redo yoder
york            york roy
yost            yost soy
yuba            yuba buy, abu yuba
zero            ore zero
zeros           sore zeros
zeus            sue zeus
zoom            moo zoom
