spit            tip spit
spite           spite tips
spits           spits tips
spoof           spoof oops
spook           spook oops
spool           spool oops, loop spool
spools          spools loops, sloop spools
spoon           spoon oops
spoons          snoop spoons
spoor           spoor oops
sports          strop sports
spot            spot ops, top spot
spots           spots tops, stop spots
sprat           tarp sprat
sprats          sprats tarps
sprawl          sprawl warps
spud            spud ups
spun            spun ups
spur            spur ups
stab            bat stab
stabs           stabs bats
stack           stack cats
staff           staff fats
stamp           stamp mats
star            rat star
stare           stare rats
stark           stark rats
stars           stars rats
start           start rats
stats           stats
stave           stave vats
steels          sleet steels
stem            met stem
steno           steno nets
step            pet step
steps           steps pets
stetson         no stetson
stew            wet stew
stews           stews wets
stiff           stiff its, stiff fits
still           still its
sting           sting nits
stink           stink nits, knit stink
stinks          stinks knits
stint           stint nits
stir            stir its
stock           stock cots
stole           stole lots
stool           loot stool
stools          stools loots
stop            pot stop
stops           stops pots, spot stops
store           store rots
stork           stork rots
storm           storm rots
story           story rots
stow            wot stow
stows           swot stows
strafe          strafe farts
strap           strap arts, part strap
straps          straps parts
strata          strata tarts
straw           straw arts, wart straw
straws          straws warts
stray           stray arts
strep           pert strep
stressed        dessert stressed
strop           port strop
strops          strops ports, sport strops
stub            but stub
stubs           stubs buts
stuck           stuck cuts
stun            nut stun
stung           stung nuts
stunk           stunk nuts
stuns           stuns nuts
stunt           stunt nuts
sub             sub us
subs            subs bus
sue             sue us
suede           suede us
sum             sum us
sun             sun us
sung            gnu sung
sup             sup us
sups            sups pus
surer           surer us
suss            suss us
swam            maw swam
swami           swami maws
swamp           swamp maws
swap            paw swap
swaps           swaps paws
sward           draw sward
swards          swards draws
sway            yaw sway
sways           sways yaws
swept           swept pews
swop            pow swop
sword           sword rows
swore           swore rows
sworn           sworn rows
swot            tow swot
swots           swots tows, stow swots
system          met system
tab             tab at
taboo           taboo bat
tabs            tabs bat
tack            tack cat
taco            taco cat
tact            tact cat
tag             tag at
tall            tall at
tame            tame mat
tamp            tamp mat
tan             tan at
tango           tango gnat
tangs           tangs gnat
tangy           tangy gnat
tap             tap at, pa tap
tape            tape pat
taps            taps pat, spa taps
tar             tar at
tardy           tardy drat
tarn            tarn rat
taro            taro rat
tarp            tarp rat
tarps           tarps prat
tars            tars rat
tart            tart rat
task            task sat
tasks           tasks at
tat             tat, tat at, ta tat
tater           re tater
tattoos         soot tattoos
tax             tax at
teems           teems meet
teen            nee teen
tees            see tees
teeter          re teeter
teethe          eh teethe
tell            tell let
temp            temp met
tend            tend net
tended          tended net
tendered        tendered net
tenet           tenet
tenets          tenets tenet
tenners         tenners rennet
tenon           none tenon
tens            tens net
tenses          tenses net
tent            tent net
tepee           tepee pet
test            test set
than            nah than
the             eh the
tiara           tiara it
tic             tic it
tided           tided it, tided edit
tides           tides edit
tie             tie it
tiff            tiff it, tiff fit
tike            tike kit
til             til it
tile            tile lit
tiled           deli tiled
till            till it, till lit
tilt            tilt lit
timed           timed emit
timer           timer emit
timers          timers remit
times           times emit, semi times
tin             tin it
tine            tine nit
ting            ting nit
tins            tins nit
tint            tint nit
tiny            tiny nit
